17:47:37.179 -> ⸮⸮d1
17:47:39.673 -> 0.017578, 1.014404, -0.106445, -2.687023, -0.671756, 0.732824
17:47:39.673 -> 0.019043, 1.002686, -0.110107, -2.992366, -0.732824, 0.793893
17:47:39.713 -> 0.017090, 1.009277, -0.126953, -3.114504, -0.549618, 0.732824
17:47:39.713 -> 0.013916, 1.010498, -0.123535, -3.114504, -0.488550, 0.793893
17:47:39.713 -> 0.020996, 1.013428, -0.124023, -3.236641, -0.549618, 0.671756
17:47:39.753 -> 0.018555, 1.010254, -0.125732, -3.053435, -0.488550, 0.793893
17:47:39.753 -> 0.022461, 1.012695, -0.122070, -3.114504, -0.549618, 0.916031
17:47:39.787 -> 0.019043, 1.012451, -0.120361, -3.175573, -0.488550, 0.854962
17:47:39.787 -> 0.025391, 1.011475, -0.115479, -3.358779, -0.549618, 0.916031
17:47:39.787 -> 0.022949, 1.008057, -0.117920, -3.114504, -0.610687, 0.793893
17:47:39.826 -> 0.018066, 1.010010, -0.128906, -3.236641, -0.671756, 0.610687
17:47:39.826 -> 0.019287, 1.009277, -0.123047, -3.297710, -0.610687, 0.488550
17:47:39.826 -> 0.017090, 1.012939, -0.116699, -3.297710, -0.488550, 0.854962
17:47:39.865 -> 0.017334, 1.006348, -0.108643, -3.358779, -0.854962, 0.854962
17:47:39.865 -> 0.021729, 1.013428, -0.118164, -3.358779, -0.549618, 0.610687
17:47:39.865 -> 0.028320, 1.015381, -0.114990, -3.358779, -0.549618, 0.793893
17:47:39.894 -> 0.025879, 1.008545, -0.116943, -3.480916, -0.549618, 0.854962
17:47:39.894 -> 0.015625, 1.013672, -0.117920, -3.664122, -0.610687, 0.671756
17:47:39.926 -> 0.022949, 1.012451, -0.118896, -3.358779, -0.793893, 0.671756
17:47:39.926 -> 0.027100, 1.008057, -0.116943, -3.480916, -0.549618, 0.977099
17:47:39.926 -> 0.015381, 1.005371, -0.113770, -3.480916, -0.610687, 0.732824
17:47:39.953 -> 0.018066, 1.009277, -0.119385, -3.419847, -0.610687, 0.977099
17:47:39.953 -> 0.021729, 1.004639, -0.113770, -3.419847, -0.793893, 0.610687
17:47:39.984 -> 0.025879, 1.011475, -0.120605, -3.236641, -0.732824, 0.793893
17:47:39.984 -> 0.020264, 1.011719, -0.123535, -3.419847, -0.488550, 0.854962
17:47:40.018 -> 0.020020, 1.014404, -0.111084, -3.419847, -0.610687, 0.732824
17:47:40.018 -> 0.021484, 1.002930, -0.110840, -3.419847, -0.610687, 0.854962
17:47:40.018 -> 0.020508, 1.004150, -0.112305, -3.297710, -0.610687, 0.732824
17:47:40.053 -> 0.019775, 1.008545, -0.130127, -3.297710, -0.610687, 0.793893
17:47:40.053 -> 0.017090, 1.009766, -0.116211, -3.175573, -0.671756, 0.793893
17:47:40.088 -> 0.017334, 1.011719, -0.129395, -3.114504, -0.610687, 0.916031
17:47:40.088 -> 0.018799, 1.015625, -0.129150, -3.236641, -0.732824, 0.793893
17:47:40.088 -> 0.023438, 1.006348, -0.123779, -3.175573, -0.549618, 0.793893
17:47:40.129 -> 0.021484, 1.007812, -0.126221, -2.992366, -0.488550, 0.732824
17:47:40.129 -> 0.013672, 1.012207, -0.115234, -3.236641, -0.610687, 0.793893
17:47:40.129 -> 0.022217, 1.008545, -0.128174, -2.992366, -0.610687, 0.793893
17:47:40.174 -> 0.019287, 1.016602, -0.119141, -2.931298, -0.671756, 0.793893
